MAT_LANE_YM;YYYYMM;Business Unit ACDC;BU SCND;PDCL_Desc_SCND;PRDH_BusinessUnit_SCND;PRDH_ProductSubclassDescription;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;Material Description ACDC;Material Description SCND;Brokername ACDC;Importername ACDC;Supplier Name ACDC;CoO ACDC;CoO SCND;From Country ACDC;From Country SCND;From Country Short Text;From Country Name SCND;To Country ACDC;To Country SCND;To Country Short Text;To Country Name SCND;From SAP SCND;To SAP SCND;From Location SCND;To Location SCND;HS Codes in ACDC;HS Code Text ACDC;HS Code2 in ACDC;HS Code2 Text ACDC;HS Code First 6 ACDC;HS Code First 6 Text ACDC;PREFERENCECODE1;Quantity  ACDC;Quantity UoM ACDC;ALL_RELATED_UOMS_COLLECTED;Brutto Weight Material MARA;Weight UoM;Sum_Quantity_SCND;Sum_Volume_cbm_SCND;Sum_Weight_kg_SCND;Material_Value_EUR_SCND;Value_Per_Piece_SCND;Sum_Pallets_SCND;Advalorem Duty Rate ACDC;ESTBASETOTALDUTLINEVALUE_SUM;ESTBASELINEDUTY_SUM;ESTBASEADDLLINEDUTY_SUM;ESTBASETOTALLINEDUTY_SUM;Freight Payer SCND;Freight Payer Division SCND;Category;Division Profitcenter;Plant Profitcenter;RB part name;CAPRI TOTAL DEMAND;CAPRI_TOTAL_CATEGORY_DEMAND
0204254243DECN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;30000;PCS;?;0,7;G;30000;0,07;23,1;316,63;0,010554333;0,07;0,06;343;21;0;21;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;30000;PCS;?;0,7;G;60000;0,14;46,2;263,49;0,0043915;0,14;0,06;343;21;0;21;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-NBS;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;E11Y;Kgm Kugelfabrik Gmbh & Co. Kg;Plant Nanjing;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;30000;0,07;23,1;316,63;0,010554333;0,07;0,06;670;40;0;40;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-NBS;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;E11Y;Kgm Kugelfabrik Gmbh & Co. Kg;Plant Nanjing;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;60000;0,14;46,2;263,49;0,0043915;0,14;0,06;670;40;0;40;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-NBS;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;E11Y;Kgm Kugelfabrik Gmbh & Co. Kg;Plant Nanjing;8482910000;Balls, needles and rollers      ;?;?;848291;?;;30000;PCS;?;0,7;G;30000;0,07;23,1;316,63;0,010554333;0,07;0,06;343;21;0;21;Bosch;VM;;;;;;
0204254243DECN202603;202603;VM;VM-NBS;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;E11Y;Kgm Kugelfabrik Gmbh & Co. Kg;Plant Nanjing;8482910000;Balls, needles and rollers      ;?;?;848291;?;;30000;PCS;?;0,7;G;60000;0,14;46,2;263,49;0,0043915;0,14;0,06;343;21;0;21;Bosch;VM;;;;;;
0204254243DECN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;300000;PCS;?;0,7;G;60000;0,14;46,2;643,55;0,010725833;0,14;0,06;3404;204;0;204;Bosch;VM;;;;;;
0204254243DECN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik Gebauer GmbH;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;300000;PCS;?;0,7;G;180000;0,42;138,6;799,55;0,004441944;0,42;0,06;3404;204;0;204;Bosch;VM;;;;;;
0204254243DECN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;60000;0,14;46,2;643,55;0,010725833;0,14;0,06;721;43;0;43;Bosch;VM;;;;;;
0204254243DECN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204254243;P00870 - Conventional Actuation;0204254243;polished steel balls;"BALL; D5.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;KGM Kugelfabrik GmbH & Co. KG;DE;DE;DE;DE;Germany;DE;CN;CN;China;CN;;6751;KGM Kugelfabrik GmbH & Co. KG;Plant Suzhou;8482910000;Balls, needles and rollers      ;?;?;848291;?;;60000;PCS;?;0,7;G;180000;0,42;138,6;799,55;0,004441944;0,42;0,06;721;43;0;43;Bosch;VM;;;;;;
